584                     N5
2087 2.67486 7.01678
2026 -9.59328 6.80089
2122 -8.5275 6.33592
2123 4.82854 6.11301
2005 -2.13974 5.80572
2064 8.15985 5.14805
2110 2.02629 5.04441
2090 -9.85735 4.13924
2095 -6.25685 3.75575
2108 4.5105 2.52656
2103 7.82194 2.25689
2116 0.139926 2.02931
2102 -2.8889 1.85791
2079 9.38068 0.234915
2085 -9.32453 -0.691444
2082 0.549032 -0.977107
2029 -3.62582 -1.10295
2010 4.83307 -1.85039
2120 0.0335035 -3.91024
2080 -8.04558 -4.12446
S2077 8.60557 -5.54218
2104 -10.7895 -6.39388
2001 3.40553 -6.79794
2088 -0.190802 -6.92761
-99
552
2020 3.11165 7.47378
2088 -1.89209 6.18358
2080 7.0295 5.52691
2001 -5.64632 5.39316
2120 -1.56898 3.17272
2085 9.5507 2.26357
2029 3.05927 0.966863
2010 -6.57708 -0.0294312
2082 -1.56001 -0.0723084
2031 11.4365 -0.133472
2102 3.03376 -2.55401
2116 -0.442467 -3.47635
2095 7.67992 -3.59803
2103 -10.0629 -5.18001
2108 -5.57972 -5.15835
-99
579
2082 0.832205 6.67444
2079 10.5407 6.20268
S2051 -10.6901 4.51218
2120 -0.894258 4.20859
2010 4.74892 4.10298
2033 -10.5438 3.5904
2020 -7.22734 3.14879
2088 -2.40425 1.49651
2077 7.07155 0.843562
2059 -6.08466 0.470698
2001 1.20454 0.00850889
2069 -2.42936 -2.12637
2093 -5.62189 -2.67663
2067 0.722455 -4.32284
-99
560
2117 7.02881 5.23045
2122 -7.02958 4.63318
2023 5.98609 3.89961
2112 -11.3133 3.78434
2031 -0.0566873 3.52424
2090 -3.23356 2.15201
2125 10.4166 1.56033
2026 -6.21649 1.14862
2027 4.31221 0.313046
2089 -10.6392 -0.0920144
2024 -0.513719 -1.63339
2100 2.0776 -1.95653
2008 -4.04907 -4.01825
2002 -11.2187 -4.2094
2014 0.350565 -6.27597
-99
591
2016 5.75021 6.84832
2112 7.07974 6.67055
2029 -3.30683 3.80438
